date,open,high,low,close,volume
2020-01-02,74.18,74.54,73.64,74.00,68100504
2020-01-03,74.95,75.63,74.28,74.95,36696826
2020-01-06,74.75,75.05,74.54,74.84,77807135
2020-01-07,74.81,75.12,74.27,74.58,45186641
2020-01-08,74.80,75.20,74.33,74.73,77535246
2020-01-09,75.61,75.86,75.16,75.40,100150012
2020-01-10,75.71,75.94,75.56,75.79,67408356
2020-01-13,74.20,74.50,74.01,74.31,76595574
2020-01-14,74.79,75.21,74.42,74.84,63326197
2020-01-15,75.74,76.37,75.27,75.89,71353229
2020-01-16,75.88,76.40,75.54,76.06,49410997
2020-01-17,76.68,77.28,76.09,76.69,66094460
2020-01-20,77.19,77.86,76.56,77.22,85958331
2020-01-21,75.87,76.51,75.39,76.04,58690632
2020-01-22,76.49,76.97,76.11,76.59,85337845
2020-01-23,77.62,77.94,77.20,77.52,70517157
2020-01-24,77.68,78.15,77.21,77.68,105175901
2020-01-27,77.39,77.76,76.91,77.28,65112022
2020-01-28,77.33,77.92,76.87,77.47,59266523
2020-01-29,78.03,78.53,77.72,78.22,126121999
2020-01-30,77.80,78.19,77.31,77.71,61450824
2020-01-31,78.12,78.92,77.40,78.20,51681491
2020-02-03,78.85,79.42,78.40,78.97,58015747
2020-02-04,77.87,78.30,77.42,77.85,80383543
2020-02-05,77.94,78.22,77.54,77.82,58017030
2020-02-06,78.96,79.50,78.56,79.10,49218569
2020-02-07,78.68,79.11,78.11,78.54,105813394
2020-02-10,79.09,79.49,78.42,78.82,72424032
2020-02-11,78.45,79.22,77.68,78.44,58742129
2020-02-12,79.32,79.69,78.70,79.07,63037319
2020-02-13,79.50,80.35,78.92,79.76,92157860
2020-02-14,79.89,80.42,79.49,80.02,186985699
2020-02-17,80.21,80.71,79.72,80.22,62434511
2020-02-18,79.35,79.99,78.69,79.33,95230011
2020-02-19,79.73,80.61,78.92,79.80,54712801
2020-02-20,80.23,81.25,78.87,79.88,102414021
2020-02-21,80.44,81.27,79.45,80.28,84059715
2020-02-24,80.84,81.36,80.58,81.09,92798928
2020-02-25,81.15,81.38,80.71,80.94,98527151
2020-02-26,80.94,81.15,80.60,80.82,80410260
2020-02-27,81.17,81.35,80.91,81.08,46003831
2020-02-28,81.21,81.55,80.94,81.28,91421730
2020-03-02,80.42,81.27,79.82,80.68,57126567
2020-03-03,80.95,81.50,80.15,80.70,59799115
2020-03-04,80.00,80.22,79.83,80.06,54803650
2020-03-05,80.32,80.58,79.73,80.00,62118292
2020-03-06,79.94,80.65,78.94,79.64,66599192
2020-03-09,80.14,80.83,79.28,79.96,95851463
2020-03-10,79.43,79.97,78.94,79.48,81693595
2020-03-11,78.93,79.32,78.20,78.59,133695099
2020-03-12,78.51,79.06,77.86,78.40,72942621
2020-03-13,78.31,78.75,78.09,78.53,96546190
2020-03-16,78.71,79.44,77.90,78.63,80551832
2020-03-17,79.46,79.63,79.10,79.26,64790951
2020-03-18,78.46,79.20,77.84,78.59,95184558
2020-03-19,77.28,77.63,76.87,77.22,227789567
2020-03-20,76.13,76.45,75.97,76.29,115648572
2020-03-23,74.08,74.90,73.11,73.94,194469972
2020-03-24,69.18,69.53,68.95,69.30,171154404
2020-03-25,67.32,67.72,67.01,67.40,297175548
2020-03-26,61.79,62.05,61.46,61.72,216949678
2020-03-27,61.90,62.16,61.71,61.96,206007139
2020-03-30,56.43,56.82,56.02,56.40,364511648
2020-03-31,57.93,58.17,57.72,57.96,215903520
2020-04-01,56.95,57.15,56.62,56.82,252235038
2020-04-02,59.65,59.92,59.27,59.54,265120490
2020-04-03,60.70,61.19,60.38,60.87,272524894
2020-04-06,57.98,58.52,57.50,58.04,308859695
2020-04-07,60.92,61.26,60.73,61.07,398097312
2020-04-08,61.37,61.90,60.98,61.51,241560803
2020-04-09,63.20,63.96,62.49,63.25,237370314
2020-04-10,63.00,63.55,62.46,63.00,165530887
2020-04-13,66.75,67.20,66.17,66.61,258214174
2020-04-14,66.36,66.63,66.22,66.49,199558145
2020-04-15,67.37,67.63,67.03,67.30,121261151
2020-04-16,67.92,68.10,67.71,67.89,209463937
2020-04-17,70.43,71.64,69.32,70.53,138632131
2020-04-20,72.43,73.27,71.59,72.42,177980981
2020-04-21,71.21,71.57,70.82,71.18,169872510
2020-04-22,72.56,72.80,72.38,72.62,200180281
2020-04-23,75.03,75.46,74.65,75.08,167989531
2020-04-24,76.02,76.25,75.80,76.03,120660155
2020-04-27,76.04,76.35,75.64,75.96,125363008
2020-04-28,78.02,78.29,77.59,77.87,143592247
2020-04-29,80.05,80.23,79.66,79.84,183316121
2020-04-30,79.07,79.85,78.51,79.29,145635444
2020-05-01,81.09,82.22,80.01,81.14,122203156
2020-05-04,82.75,83.47,81.88,82.59,142964804
2020-05-05,82.55,83.08,81.92,82.46,212644118
2020-05-06,82.34,83.24,81.44,82.34,325032230
2020-05-07,84.50,84.93,83.74,84.17,154769181
2020-05-08,83.93,84.99,82.96,84.01,252532599
2020-05-11,87.97,88.59,86.95,87.56,135751074
2020-05-12,85.54,85.86,84.88,85.20,246485589
2020-05-13,86.91,87.23,86.52,86.84,98460629
2020-05-14,88.93,89.33,88.45,88.85,153018413
2020-05-15,87.88,88.46,87.24,87.82,170839451
2020-05-18,87.34,87.79,87.02,87.47,105044034
2020-05-19,88.25,88.47,87.94,88.16,120841590
2020-05-20,88.90,89.45,88.59,89.15,100201400
2020-05-21,89.94,90.68,89.50,90.24,102856733
2020-05-22,91.25,91.87,90.81,91.43,104969447
2020-05-25,92.40,93.32,91.09,92.01,55829763
2020-05-26,93.46,94.14,92.46,93.13,136097547
2020-05-27,93.51,93.88,93.08,93.44,65079101
2020-05-28,91.53,92.33,90.76,91.56,55544819
2020-05-29,95.00,95.72,94.00,94.72,75199089
2020-06-01,93.80,94.05,93.26,93.51,68348831
2020-06-02,92.57,92.89,92.35,92.67,80428225
2020-06-03,95.21,95.44,94.97,95.21,100298998
2020-06-04,95.16,96.14,94.38,95.36,55462608
2020-06-05,95.48,96.03,94.67,95.22,95929128
2020-06-08,95.94,96.50,95.15,95.71,49070213
2020-06-09,97.66,99.20,96.28,97.82,65833851
2020-06-10,97.21,98.06,96.57,97.42,64773780
2020-06-11,98.09,98.62,97.03,97.57,44129850
2020-06-12,98.52,99.12,97.82,98.43,68230480
2020-06-15,96.88,97.81,96.22,97.15,79993745
2020-06-16,98.84,99.70,98.10,98.97,114664091
2020-06-17,98.98,99.66,98.56,99.24,80369648
2020-06-18,100.62,101.61,99.46,100.44,108004459
2020-06-19,99.97,100.85,99.51,100.40,50900938
2020-06-22,101.46,102.06,101.11,101.70,89065659
2020-06-23,101.62,101.86,101.09,101.33,91366335
2020-06-24,101.21,101.77,100.69,101.26,85041142
2020-06-25,100.76,101.29,100.45,100.98,71593375
2020-06-26,100.43,101.91,99.40,100.87,59368677
2020-06-29,101.06,101.68,100.55,101.18,106311634
2020-06-30,103.16,103.37,102.92,103.12,75881393
2020-07-01,103.20,103.99,102.09,102.89,148504077
2020-07-02,102.49,102.88,102.14,102.52,89176484
2020-07-03,103.46,103.93,103.24,103.71,79673909
2020-07-06,102.13,102.79,101.40,102.05,81082596
2020-07-07,102.73,103.17,102.31,102.75,81180149
2020-07-08,103.22,103.78,102.94,103.50,78198335
2020-07-09,102.45,102.69,102.11,102.35,54328817
2020-07-10,105.35,106.02,104.36,105.04,55749406
2020-07-13,105.60,105.88,105.30,105.58,114132551
2020-07-14,104.54,105.32,103.86,104.64,85061550
2020-07-15,104.67,106.44,103.31,105.07,107095292
2020-07-16,105.05,105.73,104.54,105.21,74917256
2020-07-17,106.61,106.99,106.03,106.41,67450002
2020-07-20,106.23,106.87,105.92,106.55,51452459
2020-07-21,106.35,107.03,105.59,106.27,99005073
2020-07-22,107.76,108.71,107.06,108.00,63105324
2020-07-23,106.03,107.46,104.87,106.30,110540781
2020-07-24,106.21,106.87,105.96,106.63,71230630
2020-07-27,107.57,107.93,107.12,107.49,67023924
2020-07-28,107.97,108.33,107.40,107.75,70392176
2020-07-29,108.10,108.63,107.69,108.22,84114588
2020-07-30,107.86,108.27,107.63,108.04,70003554
2020-07-31,108.87,109.75,108.19,109.07,70000403
2020-08-03,109.41,109.74,109.10,109.44,85067385
2020-08-04,109.96,110.83,108.93,109.79,49373677
2020-08-05,109.77,110.16,109.29,109.69,56139934
2020-08-06,110.72,111.30,109.94,110.53,96404490
2020-08-07,109.82,110.27,109.37,109.82,71332120
2020-08-10,111.49,112.21,110.76,111.48,65213136
2020-08-11,110.96,112.53,109.67,111.25,51706894
2020-08-12,111.51,112.39,110.77,111.65,83468217
2020-08-13,110.80,112.04,109.37,110.61,87278695
2020-08-14,110.52,111.61,109.69,110.77,74764839
